sid,query,kind
c00186,孩子一直有过敏性鼻炎,calibration
c00187,有没有调理肠道的药，不要蒙脱石散,calibration
c00188,先买宠物专用抗螨药,calibration
c00189,川百止痒洗剂功效,calibration
c00190,备孕人群接触酒精,calibration
c00191,海狗翅的功效与作用,calibration
c00192,我用绿豆大米和红枣打豆浆喝的,calibration
c00193,屁股右边胀痛睡不着,calibration
c00194,生长因子最佳使用时机,calibration
c00195,经常有肠鸣的情况还会有水声,calibration
c00196,伤口长肉生肌的中药秘方,calibration
c00197,月经提前了10几天，这回就来了三四天,calibration
c00198,儿童嗓子有痰沙哑变声了,calibration
c00199,提升免疫力防感冒,calibration
c00200,四月份做了一个支架，想戒烟,calibration
c00201,"经期持续到结束,调经",calibration
c00202,先喝黄精加陈皮水几天试试看,calibration
c00203,放疗后休息一周进行化疗,calibration
c00204,有痰，白天咳嗽多,calibration
c00205,调节脾胃的中药方子,calibration
c00206,长期吃拜糖平有没有副作用,calibration
c00207,还是感觉肚子胀胀的,calibration
c00208,从未使用过激素药物,calibration
c00209,测餐后2小时血糖前吃,calibration
c00210,只前去拿过两次感冒药，也打过小针，好了没有两天就又这样反复,calibration
c00211,怎样让女性更快出水,calibration
c00212,停止运动后很快恢复,calibration
c00213,他并不是像那种凝胶状态，而是类似于蛛网的结构,calibration
c00214,手心脚心也是时热时凉的，晚上不出汗，就是白天微微发汗,calibration
c00215,亚硝酸钠的副作用,calibration
c00216,经期肚子隐隐作痛,calibration
c00217,茯砖茶的功效与作用及禁忌症,calibration
c00218,微黄或乳白，略粘稠，无异味,calibration
c00219,你说的这些都有，还有眼流泪还红肿,calibration
c00220,距离最后一次治疗已经过去一个月了，目前活动多了还会腰酸疼，膝盖以下也疼。,calibration
c00221,"有头痛,有反应变慢",calibration
c00222,化疗后皮肤出现红疹有点疼痛,calibration
c00223,尿路感染一般吃几天抗生素,calibration
c00224,1岁1个月宝宝偶尔会点头,calibration
c00225,"诊断短宫颈,不清楚",calibration
c00226,我之前上过两次药，都是先抹一遍碘伏再上药，你这么说就是不能用碘伏了呗,calibration
c00227,"45-55岁,月经紊乱",calibration
c00228,舒心口服液服用方法,calibration
c00229,乳腺后期治疗方案,calibration
c00230,骨头活动有摩擦感,calibration
c00231,我这个颈椎腰椎都挺历害的不打不行的,calibration
c00232,"鼓膜愈合良好,未做过纯音测听",calibration
c00233,救心丹的作用及用法,calibration
c00234,萝卜苗的功效与作用,calibration
c00235,我是同房后有粉色血,calibration
c00236,单纯头晕头痛预防,calibration
c00237,老人戴助听器多久能恢复正常听力,calibration
c00238,手足厥冷、心中烦热,calibration
c00239,抓耳朵，现在体温正常了,calibration
c00240,"体重明显下降,食欲不振,都没有,都没有",calibration
c00241,单纯汗流到眼睛里,calibration
c00242,"查肝功能,查肾功能",calibration
c00243,"直接涌出,大量,尿急",calibration
c00244,吃完避孕药后几天出血,calibration
c00245,"像额头骨头,固定推不动",calibration
c00246,复方黄连素片和盐酸小檗碱,calibration
c00247,现在是受伤后第12天了，没有症状,calibration
c00248,特别是在不透风的房间里面,calibration
c00249,有时心口窝痛，其他没有,calibration
c00250,我有问医生，cT有低密度影是不是牙窝里还有残留，她说不是，是里面骨头凹陷才会这样,calibration
c00251,后背疼针扎一样疼痛,calibration
c00252,"手脚冰凉,头晕心慌,都没有",calibration
c00253,医生说插肺里的管子后，费用的平常每天的1倍，打个比方，一天要3000元的话，那就要6000,calibration
c00254,3周岁的小孩发烧37.5,calibration
c00255,有时半天一个护垫，有时候一天一个护垫,calibration
c00256,地中海贫血症状和危害,calibration
c00257,预防心脑血管病、防止血栓,calibration
c00258,吃面条加猪油，还是加香油,calibration
c00259,"月经量正常,经期正常,不影响活动",calibration
c00260,氨曲南注射功效与作用,calibration
c00261,主动玩躲猫猫游戏,calibration
c00262,凝血功能检查项目,calibration
c00263,女性bmi对照表2026,calibration
c00264,80岁老人缺钠一般寿命多久,calibration
c00265,我每天吃佐匹克隆,calibration
c00266,干重活饿了时就心发热全身就无力，耍起就好得多,calibration
c00267,有40天了不舒服,calibration
c00268,伤口化脓外用消炎药,calibration
c00269,便后擦纸带血应该用药多久才能恢复,calibration
c00270,拍了CT是骶髂关节边毛糙,calibration
c00271,"睡眠不足,饮食不规律,压力大",calibration
c00272,尿频尿急、憋尿难,calibration
c00273,乳腺癌注意事项不注意事项,calibration
c00274,"免疫抑制剂,普利/沙坦类降压药",calibration
c00275,像膑骨声，伸直时弹响下，有时也没有，不痛,calibration
c00276,"实性包块,都不是",calibration
c00277,"腹部绞痛,恶心呕吐",calibration
c00278,没说不让健身！没说只能轻柔的！就是量力而行！我健身10多年了！人家医生更,calibration
c00279,头晕大汗淋漓警惕四种病,calibration
c00280,伤胃不这么多清热药,calibration
c00281,我想了解关节脱位,calibration
c00282,有个小伤口被鸟爪子划伤出血量有一小点,calibration
c00283,一饿了就饿的很，吃了饭就有点胀,calibration
c00284,鼻通穴的准确位置,calibration
c00285,"流黄脓鼻涕,头痛,鼻塞,不清楚,都没有",calibration
c00286,胃消化不好还胀点，胃镜查有浅表胃炎,calibration
c00287,不咬东西好象也没有多疼。自己感觉牙窝蜂窝状。但牙医说这里正常现象我不理解,calibration
c00288,用四逆汤和四神丸汤剂，加干姜怀牛膝等光用，喝乌龟汤又犯了,calibration
c00289,那如果这次能脱落，就算排不干净，是不是下次月经也会完全脱落,calibration
c00290,奥美沙坦酯氨氯地平片,calibration
c00291,一天两次喝好还是三次喝好补气血调理的,calibration
c00292,女人长期用筋膜枪的好处,calibration
c00293,蛛网膜下腔出血的临床表现,calibration
c00294,创伤性脾破裂，摘除后3个多月了还有积液,calibration
c00295,玫瑰细胞液作用和功效,calibration
c00296,"身体紧绷,心慌,胸口堵",calibration
c00297,非那雄胺最好三个牌子,calibration
c00298,骨髓纤维化最好的治疗方法,calibration
c00299,戊二醛消毒液正确配制,calibration
